1.01	0.99
1.0199	0.96995
1.0296	0.940257
1.039	0.901718
1.04802	0.855474
1.05657	0.802928
1.0646	0.745652
1.07206	0.685279
1.07891	0.623398
1.08515	0.561474
1.09076	0.500779
1.09577	0.442358
1.10019	0.387007
1.10406	0.335288
1.10742	0.287541
1.11029	0.243921
1.11273	0.204432
1.11477	0.16896
1.11646	0.137307
1.11784	0.10922
1.11893	0.0844134
1.11977	0.0625878
1.1204	0.0434448
1.12083	0.0266952
1.1211	0.0120663
1.12122	-0.000694445
1.12121	-0.0118174
1.1211	-0.0215103
1.12088	-0.0299587
1.12058	-0.0373272
1.12021	-0.0437607
1.11977	-0.0493862
1.11928	-0.0543146
1.11873	-0.0586425
1.11815	-0.0624537
1.11752	-0.0658205
1.11686	-0.0688058
1.11618	-0.0714636
1.11546	-0.0738407
1.11472	-0.0759773
1.11396	-0.0779082
1.11318	-0.0796632
1.11239	-0.0812681
1.11158	-0.0827452
1.11075	-0.0841135
1.10991	-0.0853898
1.10905	-0.0865882
1.10819	-0.0877212
1.10731	-0.0887994
1.10642	-0.0898321
1.10552	-0.0908276
1.10462	-0.0917927
1.1037	-0.0927336
1.10277	-0.0936558
1.10183	-0.0945639
1.10089	-0.0954621
1.09993	-0.0963542
1.09897	-0.0972435
1.098	-0.0981328
1.09702	-0.0990248
1.09603	-0.099922
1.09503	-0.100826
1.09402	-0.10174
1.093	-0.102665
1.09197	-0.103603
1.09094	-0.104556
1.08989	-0.105525
1.08884	-0.106512
1.08777	-0.107518
1.0867	-0.108544
1.08561	-0.109593
1.08452	-0.110665
1.08341	-0.111762
1.08229	-0.112885
1.08116	-0.114036
1.08002	-0.115217
1.07887	-0.116428
1.07771	-0.117672
1.07653	-0.11895
1.07534	-0.120264
1.07414	-0.121616
1.07292	-0.123007
1.07169	-0.124439
1.07045	-0.125915
1.06919	-0.127437
1.06791	-0.129007
1.06662	-0.130627
1.06532	-0.132301
1.06399	-0.13403
1.06265	-0.135819
1.06129	-0.137669
1.05992	-0.139585
1.05852	-0.14157
1.05711	-0.143628
1.05567	-0.145763
1.05421	-0.147979
1.05273	-0.150281
1.05123	-0.152675
1.0497	-0.155165
1.04815	-0.157758
1.04657	-0.160461
